Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Babolat,Aero 112,112 sq. in. / 722.58 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Graphite,Medium-High,Medium-Fast
Babolat,AeroPro Drive,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),55-65 pounds,Graphite,Medium,Fast
Babolat,AeroPro Drive Plus,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),55-65 pounds,Graphite,Low-Medium,Fast
Babolat,AeroPro Lite,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-65 pounds,Graphite / Tungsten,Low-Medium,Medium
Babolat,AeroPro Lite French Open,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-62 pounds,Graphite / Tungsten,Low-Medium,Medium
Babolat,AeroPro Lite Pink,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),55-62 pounds,Graphite / Tungsten,Low-Medium,Medium
Babolat,AeroPro Team,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),55-65 pounds,Graphite,Low-Medium,Medium
Babolat,Boost Aero,102 sq. in. / 658.06 sq. cm.,High - 61% (67 RA),50-55 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Boost Drive,105 sq. in. / 677.42 sq. cm.,High - 61% (67 RA),50-55 pounds,Graphite,Medium,Medium
Babolat,Boost Strike,102 sq. in. / 658.06 sq. cm.,Average - 52% (65 RA),50-55 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Drive 105 French Open,105 sq. in. / 1258.06 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphite,Medium-High,Medium
Babolat,Drive 115,115 sq. in. / 740 cm²,Very high - 95% (74 RA),50-59 lbs / 23-27 kg,Graphite,Medium-High,Medium
Babolat,Drive Lite,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-55 pounds,Graphite,Low-Medium,Medium
Babolat,Drive Max 105,105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),50-55 pounds,Graphite,Medium,Medium
Babolat,Drive Max 110,110 sq. in. / 709.68 sq. cm.,High - 71% (69 RA),50-55 pounds,Graphite,High,Slow-Moderate
Babolat,Flow 105,105 sq. in. / 677.42 sq. cm.,Average - 52% (65 RA),50-55 pounds,Graphite,Medium,Medium
Babolat,Flow Lite,102 sq. in. / 658.06 sq. cm.,High - 61% (67 RA),50-55 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Flow Tour,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-55 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,PLAY Pure Aero,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Medium,Fast
Babolat,PLAY Pure Drive,100 sq. in. / 645.16 sq. cm.,Very high - 90% (73 RA),50-66 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,PLAY Pure Drive Lite,100 in² / 645 cm²,High - 66% (68 RA),50-59 lbs / 23-27 kg,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Aero,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Medium,Fast
Babolat,Pure Aero 2019,100 in² / 645.16 cm²,High - 61% (67 RA),50-59 pounds,Graphite,Low-Medium,Fast
Babolat,Pure Aero French Open,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Fast
Babolat,Pure Aero La Decima French Open,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Fast
Babolat,Pure Aero Lite,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium
Babolat,Pure Aero Lite 2019,100 in² / 645.16 cm²,High - 66% (68 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
Babolat,Pure Aero Lite La Decima French Open,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-69 pounds,Graphite,Low-Medium,Medium
Babolat,Pure Aero Lite Pink,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Medium
Babolat,Pure Aero Play,100 sq. in MP,Average - 47% (64 RA),,Graphite,Low,Fast
Babolat,Pure Aero Plus,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),50-59 pounds,Graphite,Low-Medium,Fast
Babolat,Pure Aero Plus 2019,100 in² / 645.16 cm²,High - 66% (68 RA),50-59 pounds,Graphite,Low-Medium,Medium-Fast
