Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Dunlop,BioFibre F3.1 Tour,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),52-62 pounds,Graphite/Biofibre,Low,Fast
Dunlop,BioFibre M2.1,95 sq. in. / 612.9 sq. cm.,High - 71% (69 RA),52-62 pounds,Graphite/Biofibre,Low,Fast
Dunlop,BioFibre M3.1,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),52-62 pounds,Graphite/Biofibre,Low-Medium,Fast
Dunlop,BioFibre S8.1 Lite,115 sq. in. / 741.93 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite/Biofibre,High,Slow-Medium
Dunlop,Biomimetic 400,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-65 pounds,"HM6 Carbon, Aerogel, Graphite",Medium,Medium-Fast
Dunlop,Biomimetic 400 Lite,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),55-65 pounds,"HM6 Carbon, Aerogel, Graphite",Medium-High,Medium
Dunlop,Biomimetic 400 Tour,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),55-65 pounds,"HM6 Carbon, Aerogel, Graphite",Medium,Medium-Fast
Dunlop,Biomimetic F2.0 Tour,95 sq. in. / 612.9 sq. cm.,High - 61% (67 RA),52-62 pounds,Biofibre,Low,Fast
Dunlop,Biomimetic F3.0 Tour,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),52-62 pounds,Biofibre,Low,Fast
Dunlop,Biomimetic F4.0 Tour,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),52-62 pounds,Graphite/Biofibre,Low-Medium,Medium-Fast
Dunlop,Biomimetic F5.0 Tour,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),52-62 pounds,Biofibre,Low-Medium,Medium-Fast
Dunlop,Biomimetic M2.0,95 sq. in. / 612.9 sq. cm.,High - 76% (70 RA),52-62 pounds,Biofibre,Low-Medium,Medium-Fast
Dunlop,Biomimetic M3.0,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),52-62 pounds,Biofibre,Low-Medium,Medium-Fast
Dunlop,Biomimetic M4.0,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),52-62 pounds,Graphite/Biofibre,Low-Medium,Medium-Fast
Dunlop,Biomimetic M5.0,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),52-62 pounds,Biofibre,Low-Medium,Medium-Fast
Dunlop,Biomimetic M6.0,102 sq. in. / 658.06 sq. cm.,High - 76% (70 RA),52-62 pounds,Biofibre,Medium,Medium
Dunlop,Biomimetic S 2.0 Lite,95 sq. in. / 612.9 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphite/Biofibre,Medium,Medium
Dunlop,Biomimetic S 6.0 Lite Pink,105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),52-62 pounds,Graphite/Biofibre,Medium-High,Medium-Fast
Dunlop,Biomimetic S 7.0 Lite,110 sq. in. / 709.68 sq. cm.,Very high - 80% (71 RA),52-62 pounds,Graphite/Biofibre,Medium-High,Medium
Dunlop,Biomimetic S2.0 Lite,95 sq. in. / 612.9 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphite/Biofibre,Medium,Medium
Dunlop,Biomimetic S3.0 Lite,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),52-62 pounds,Biofibre,Medium,Medium
Dunlop,Biomimetic S4.0 Lite,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),52-62 pounds,Graphite/Biofibre,Medium,Medium
Dunlop,Biomimetic S5.0 Lite,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),52-62 pounds,Biofibre,Medium,Medium
Dunlop,Biomimetic S6.0 Lite,105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),52-62 pounds,Biofibre,Medium-High,Medium-Fast
Dunlop,Biomimetic S6.0 Lite Pink,105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),52-62 pounds,Graphite/Biofibre,Medium-High,Medium-Fast
Dunlop,Biomimetic S7.0 Lite,110 sq. in. / 709.68 sq. cm.,Very high - 80% (71 RA),52-62 pounds,Graphite/Biofibre,Medium-High,Medium
Dunlop,Biomimetic S8.0 Lite,115 sq. in. / 741.93 sq. cm.,High - 76% (70 RA),52-62 pounds,Biofibre,High,Slow
Dunlop,CX 200,98 in² / 632.26 cm²,Average - 52% (65 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,CX 200 LS,98 in² / 632.26 cm²,Average - 47% (64 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,CX 200 OS,105 in / 677.42 cm,Low - 33% (61 RA),40-60 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,CX 200 Tour 16x19,95 in² / 612.9 cm²,Average - 47% (64 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low,Fast
Dunlop,CX 200 Tour 18x20,95 in² / 612.9 cm²,Average - 42% (63 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low,Fast
Dunlop,CX 200+,98 in² / 632.26 cm²,Average - 57% (66 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low,Fast
Dunlop,CX 400 Tour,100 in / 645.16 cm,Average - 57% (66 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,CX Elite 260,100 in² / 645.16 cm²,Very low - 19% (58 RA),52-62 pounds,Graphite,Low-Medium,
Dunlop,CX Pro 255,100 in² / 645.16 cm²,High - 76% (70 RA),52-62 pounds,Graphite,Low-Medium,
Dunlop,CX Team 265,100 in² / 645.16 cm²,High - 61% (67 RA),52-62 pounds,Graphite,Low-Medium,
Dunlop,Force 100,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,Force 100 Tour,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,Force 105,105 sq. in. / 677.42 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite,Medium,Medium
Dunlop,Force 98,98 sq. in. / 632.26 sq. cm.,High - 76% (70 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,Force 98 Tour,98 sq. in. / 632.26 sq. cm.,High - 71% (69 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,FX 500,100 in² / 645.16 cm²,Very high - 80% (71 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,FX 500 Lite,100 in² / 645.16 cm²,High - 76% (70 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,FX 500 LS,100 in² / 645.16 cm²,Very high - 80% (71 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,FX 500 Tour,98 in² / 632.26 cm²,High - 71% (69 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,FX 700,107 in² / 690.32 cm²,High - 66% (68 RA),40-60 pounds,Sonic Core Infinergy/Graphite,Medium,Medium
Dunlop,iDapt Force 100,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,iDapt Force 100S,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,iDapt Force 105,105 sq. in. / 677.42 sq. cm.,High - 66% (68 RA),52-62 pounds,Graphite,Medium,Medium-Fast
Dunlop,iDapt Force 98,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphite,Low,Fast
Dunlop,Precision 100,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,Precision 100 Tour,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,Precision 98,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphite,Low-Medium,Fast
Dunlop,Precision 98 Tour,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphite,Low,Fast
Dunlop,Srixon CS 10.0,115 in² / 741.93 cm²,Very high - 104% (76 RA),40-55 pounds,Sonic Core VG/Graphite,High,Fast
Dunlop,Srixon CS 8.0,110 in² / 709.68 cm²,Very high - 104% (76 RA),40-55 pounds,Sonic Core VG/Graphite,Medium-High,Slow-Moderate
Dunlop,Srixon CX 200,98 in² / 632.26 cm²,Average - 52% (65 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon CX 200 LS,98 in² / 632.26 cm²,Average - 47% (64 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon CX 200 Tour 16x19,95 in² / 612.9 cm²,Average - 47% (64 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low,Fast
Dunlop,Srixon CX 200 Tour 18x20,95 in² / 612.9 cm²,Average - 42% (63 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low,Fast
Dunlop,Srixon CX 200+,98 in² / 632.26 cm²,Average - 57% (66 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low,Fast
Dunlop,Srixon CX 400,100 in² / 645.16 cm²,Very high - 80% (71 RA),45-65 pounds,Sonic Core Infinergy/Graphite,Low-Mediurm,Medium-Fast
Dunlop,Srixon Revo CV 3.0,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),45-60 pounds,Sonic Core/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon Revo CV 3.0 F,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),45-60 pounds,Sonic Core/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon Revo CV 3.0 F LS,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),45-60 pounds,Sonic Core/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon Revo CV 3.0 F Tour,97 sq. in. / 625.81 sq. cm.,High - 71% (69 RA),45-60 pounds,Sonic Core/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon Revo CV 5.0,102 sq. in. / 658.06 sq. cm.,Average - 57% (66 RA),45-60 pounds,Sonic Core/Graphite,Low-Medium,Medium-Fast
Dunlop,Srixon Revo CV 5.0 OS,105 sq. in. / 677.42 sq. cm.,High - 61% (67 RA),40-55 pounds,Sonic Core VG/Graphite,Medium,Medium
Dunlop,Srixon Revo CX 2.0,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),45-60 pounds,"Graphite, High-elasticity graphite, High-modulus graphite, Dipolgy® epoxy resin, High-resilience silicon",Low-Medium,Medium-Fast
