Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Head,Graphene 360 Extreme Lite,100 in² / 645.16 cm²,Low - 38% (62 RA),52-62 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Extreme MP,100 in² / 645.16 cm²,Average - 42% (63 RA),52-62 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Extreme Pro,100 in² / 645.16 cm²,Average - 47% (64 RA),52-62 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Instinct Lite,107 in² / 690.32 cm²,Average - 47% (64 RA),48-57 pounds,Graphene 360/Graphite,Medium,Medium
Head,Graphene 360 Instinct MP,100 in² / 645.16 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Instinct PWR,115 in² / 741.93 cm²,High - 76% (70 RA),52-62 pounds,Graphene 360/Graphite,Medium-High,Slow-Moderate
Head,Graphene 360 Instinct S,100 in² / 645.16 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Radical MP,98 in² / 632.26 cm²,High - 66% (68 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Radical Pro,98 in² / 632.26 cm²,High - 66% (68 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Radical PWR,110 in² / 709.68 cm²,High - 71% (69 RA),52-62 pounds,Graphene 360/Graphite,Medium-High,Slow-Moderate
Head,Graphene 360 Radical S,102 in² / 658.06 cm²,Low - 33% (61 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Speed Lite,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Speed MP,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Speed MP Lite,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360 Speed Pro,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),48-57 pounds,Graphene 360/Graphite,Low,Fast
Head,Graphene 360 Speed S,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),48-57 pounds,Graphene 360/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Extreme Lite,105 in² / 677.42 cm²,High - 61% (67 RA),52-62 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Extreme MP,100 in² / 645.16 cm²,Average - 57% (66 RA),52-62 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Extreme PWR,115 in² / 741.93 cm²,Average - 57% (66 RA),52-62 pounds,Graphene 360+/Graphite,High,Slow
Head,Graphene 360+ Extreme S,105 in² / 677.42 cm²,Average - 57% (66 RA),52-62 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Extreme Tour,98 in² / 632.26 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Gravity Lite,104 in² / 670.97 cm²,Low - 28% (60 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Gravity MP,100 in² / 645.16 cm²,Low - 38% (62 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Gravity MP Lite,100 in² / 645.16 cm²,Low - 38% (62 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Gravity Pro,100 in² / 645.16 cm²,Low - 38% (62 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Gravity S,104 in² / 670.97 cm²,Low - 33% (61 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Gravity Tour,100 in² / 645.16 cm²,Low - 33% (61 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Instinct Lite,107 in² / 690.32 cm²,Average - 42% (63 RA),48-57 pounds,Graphene 360+/Graphite,Medium,Medium
Head,Graphene 360+ Instinct MP,100 in² / 645.16 cm²,Average - 47% (64 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Instinct PWR,115 in² / 741.93 cm²,High - 76% (70 RA),52-62 pounds,Graphene 360+/Graphite,Medium-High,Slow-Moderate
Head,Graphene 360+ Prestige Mid,93 in² / 600 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Prestige Midplus,98 in² / 632.26 cm²,Low - 33% (61 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Prestige Pro,95 in² / 612.9 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Prestige Tour,99 in² / 638.71 cm²,Average - 52% (65 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Speed Lite,100 in² / 645.16 cm²,High - 66% (68 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Speed MP,100 in² / 645.16 cm²,Average - 47% (64 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Speed MP Lite,100 in² / 645.16 cm²,Average - 47% (64 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene 360+ Speed Pro,100 in² / 645.16 cm²,Low - 38% (62 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Speed Pro (Black) Racquets,100 in² / 645.16 cm²,Low - 38% (62 RA),48-57 pounds,Graphene 360+/Graphite,Low,Fast
Head,Graphene 360+ Speed PWR,115 in² / 741.93 cm²,High - 71% (69 RA),52-62 pounds,Graphene 360+/Graphite,High,Slow
Head,Graphene 360+ Speed S,100 in² / 645.16 cm²,High - 71% (69 RA),48-57 pounds,Graphene 360+/Graphite,Low-Medium,Medium-Fast
Head,Graphene Extreme Lite,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene,Medium,Medium
Head,Graphene Extreme MP,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,Graphene Extreme Pro,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,Graphene Instinct MP,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,Graphene Instinct PWR,115 sq. in. / 741.93 sq. cm.,High - 76% (70 RA),52-62 pounds,Graphene,Medium-High,Slow-Moderate
Head,Graphene Instinct Rev,100 sq. in. / 645.16 sq. cm.,Low - 23% (59 RA),50-60 pounds,Graphene,Medium,Medium
Head,Graphene Instinct S,102 sq. in. / 658.06 sq. cm.,Very high - 85% (72 RA),50-60 pounds,Graphene,Medium,Medium
Head,Graphene Laser MP Racquet,102 in² / 658.06 cm²,High - 76% (70 RA),52-62 pounds,Graphene/Graphite,Low-Medium,Medium-Fast
Head,Graphene Laser OS Racquet,110 in² / 709.68 cm²,High - 66% (68 RA),52-62 pounds,Graphene/Graphite,Medium,Medium
Head,Graphene Prestige Midplus,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),48-57 pounds,Graphene,Low,Fast
Head,Graphene Prestige Pro,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene,Low,Fast
Head,Graphene Prestige PWR,107 sq. in. / 690.32 sq. cm.,Very high - 85% (72 RA),52-62 pounds,Graphene,Medium-High,Medium-Fast
Head,Graphene Prestige Rev Pro,93 sq. in. / 600 sq. cm.,Low - 33% (61 RA),48-57 pounds,Graphene,Low,Fast
Head,Graphene Prestige S,98 sq. in. / 632.26 sq. cm.,Low - 33% (61 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,Graphene Radical Midplus,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,Graphene Radical Pro,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),48-57 pounds,Graphene,Low,Fast
Head,Graphene Radical Rev,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene,Low-Medium,Medium
Head,Graphene Radical S,102 sq. in. / 658.06 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene,Low-Medium,Medium
Head,Graphene Speed MP,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-60 pounds,d30 / Graphene,Low,Fast
Head,Graphene Speed Pro,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),48-57 pounds,Graphene,Low,Fast
Head,Graphene Speed PWR,115 sq. in. / 741.93 sq. cm.,High - 61% (67 RA),52-62 pounds,Graphene,Medium-High,Medium-Fast
Head,Graphene Speed Rev,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-57 pounds,d30 / Graphene,Medium,Medium
Head,Graphene Speed S,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),48-57 pounds,Graphene,Low-Medium,Medium-Fast
Head,Graphene Touch Extreme Lite,100 sq. in. / 645.16 sq. cm.,Low - 33% (61 RA),52-62 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Extreme MP,100 sq. in. / 645 sq. cm.,Average - 47% (64 RA),52-62 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Instinct Adaptive,100 sq. in. / 645.16 sq. cm.,Average - 47% (64 RA),48-57 pounds,Graphite/Graphene Touch,Low-Medium,Medium-Fast
Head,Graphene Touch Instinct Lite,107 sq. in. / 690.32 sq. cm.,Low - 33% (61 RA),48-57 pounds,Graphene Touch/Graphite,Medium,Medium
Head,Graphene Touch Instinct MP,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Instinct PWR,115 sq. in. / 741.93 sq. cm.,High - 71% (69 RA),48-57 pounds,Graphite/Graphene Touch,Medium-High,Slow-Moderate
Head,Graphene Touch Instinct S,100 sq. in. / 645.16 sq. cm.,Average - 47% (64 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Prestige Mid,93 sq. in. / 600 sq. cm.,Low - 33% (61 RA),48-57 pounds,Graphene Touch/Graphite,Low,Fast
Head,Graphene Touch Prestige Midplus,95 sq. in. / 612.9 sq. cm.,Average - 52% (65 RA),48-57 pounds,Graphene Touch/Graphite,Low,Fast
Head,Graphene Touch Prestige Midplus (MP),95 sq. in. / 612.9 sq. cm.,Average - 52% (65 RA),48-57 pounds,Graphene Touch/Graphite,Low,Fast
Head,Graphene Touch Prestige Pro,95 sq. in. / 612.9 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Prestige Tour,99 sq. in. / 638.71 sq. cm.,Average - 52% (65 RA),48-57 pounds,Graphene Touch/Graphite,Low,Fast
Head,Graphene Touch Radical MP,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Radical MP Ltd.,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Radical Pro,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Radical PWR,110 sq. in. / 709.68 sq. cm.,Average - 57% (66 RA),52-62 pounds,Graphene XT/Graphite,Medium-High,Slow-Moderate
Head,Graphene Touch Radical S,102 sq. in. / 658.06 sq. cm.,Low - 33% (61 RA),48-57 pounds,Graphene Touch/Graphite,Low-Medium,Medium-Fast
Head,Graphene Touch Speed Adaptive,100 sq. in. / 645.16 sq. cm.,Very low - 14% (57 RA),48-57 pounds,Graphite/Graphene Touch,Low-Medium,Medium-Fast
Head,Graphene Touch Speed MP,100 sq. in. / 645.16 sq. cm.,Average - 47% (64 RA),48-57 pounds,Graphite/Graphene Touch,Low-Medium,Fast
Head,Graphene Touch Speed Pro,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphite/Graphene Touch,Low,Fast
Head,Graphene Touch Speed PWR,115 sq. in. / 741.93 sq. cm.,Average - 42% (63 RA),48-57 pounds,Graphene Touch/Graphite,Medium-High,Slow-Moderate
Head,Graphene Touch Speed S,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),48-57 pounds,Graphite/Graphene Touch,Low-Medium,Medium-Fast
Head,Graphene XT Extreme Lite,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),48-57 pounds,Graphene XT,Medium,Medium-Fast
Head,Graphene XT Extreme MP A,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),48-57 pounds,Graphene XT,Low-Medium,Medium-Fast
Head,Graphene XT Extreme Pro,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),48-57 pounds,Graphene XT,Low-Medium,Medium-Fast
Head,Graphene XT Instinct MP,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),48-57 pounds,Graphene XT,Low-Medium,Medium-Fast
