Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Prince,Bryan Bros Ltd. Edition 95,95 sq. in. / 612.9 sq. cm.,Average - 52% (65 RA),40-50 pounds,Graphite,Low,Fast
Prince,Chrome 100 300g,100 in / 645.16 cm,High - 61% (67 RA),50-60 pounds,Textreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Classic Graphite 100,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),53-63 pounds,100% Graphite!,Low,Fast
Prince,Classic Graphite 100 Longbody,100 sq. in. / 645.16 sq. cm.,Low - 33% (61 RA),53-63 pounds,100% Graphite!,Low,Fast
Prince,Classic Graphite 107,107 sq. in. / 690.32 sq. cm.,Average - 47% (64 RA),55-65 pounds,100% Graphite!,Low-Medium,Medium-Fast
Prince,Classic Response 97,97 sq. in. / 625.81 sq. cm.,High - 66% (68 RA),50-60 pounds,Graphite,Low,Fast
Prince,CTS Synergy DB26,97 in² / 625.81 cm²,Average - 52% (65 RA),50-60 pounds,Fiberglass/Graphite,Low-Medium,Medium-Fast
Prince,Hornet ES 100,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),53-63 pounds,Graphite,Medium,Medium
Prince,Hornet ES 110,110 sq. in. / 709.68 sq. cm.,Average - 57% (66 RA),55-65 pounds,Graphite,High,Medium-Fast
Prince,Legacy 120,120 in / 774.19 cm,Very high - 90% (73 RA),50-60 pounds,Twaron/Textreme/Graphite,High,Slow
Prince,Lightning 100,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),53-63 pounds,Titanium Carbon Braid,Low-Medium,Medium-Fast
Prince,Lightning 105,105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),pounds,Titanium Carbon Braid,Medium,Medium
Prince,Lightning 110,110 sq. in. / 709.68 sq. cm.,Very high - 80% (71 RA),pounds,Titanium Carbon Braid,Medium-High,Slow-Medium
Prince,O3 Blue LS,110 sq. in. / 709.68 sq. cm.,Average - 52% (65 RA),55-65 pounds,GraphitExtreme / Copper / Titanium / Tungsten,Medium-High,Slow-Moderate
Prince,O3 Legacy 105,105 in² / 677.42 cm²,High - 61% (67 RA),53-63 pounds,Twaron/Textreme/Graphite,Medium-High,Slow-Moderate
Prince,O3 Legacy 110,110 in² / 709.68 cm²,Very high - 90% (73 RA),53-63 pounds,Twaron/Textreme/Graphite,Medium,Medium
Prince,O3 Legacy 120,120 in² / 774.19 cm²,Very high - 85% (72 RA),55-65 pounds,Twaron/Textreme/Graphite,High,Slow
Prince,O3 Pink LS,105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),53-63 pounds,GraphitExtreme / Copper / Titanium / Tungsten,Medium,Medium-Fast
Prince,O3 Red LS,105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),53-63 pounds,GraphitExtreme / Copper / Titanium / Tungsten,Low-Medium,Medium-Fast
Prince,O3 Silver LS,118 sq. in. / 761.29 sq. cm.,Very high - 95% (74 RA),57-67 pounds,GraphitExtreme / Copper / Titanium / Tungsten,,Slow-Moderate
Prince,O3 White LS,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),53-63 pounds,GraphiExtreme / Copper / Tiatnium / Tungsten,Low-Medium,Medium-Fast
Prince,Original Graphite 107,107 in² / 690.32 cm²,Average - 47% (64 RA),50-65 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Phantom 100,100 sq. in. / 645.16 sq. cm.,Very low - 9% (56 RA),45-55 pounds,Graphite/TeXtreme,Low-Medium,Medium-Fast
Prince,Phantom Pro 100,100 sq. in. / 645.16 sq. cm.,Very low - 0% (54 RA),45-55 pounds,Textreme/Graphite,Low-Medium,Medium-Fast
Prince,Phantom Pro 100P,100 sq. in. / 645.16 sq. cm.,Low - 23% (59 RA),45-55 pounds,Textreme/Graphite,Low-Medium,Medium-Fast
Prince,Phantom Pro 93P,93 sq. in. / 600 sq. cm.,Low - 33% (61 RA),40-55 pounds,Textreme/Graphite,Low,Fast
Prince,Premier 105 ESP,105 sq. in. / 677.42 sq. cm.,Average - 52% (65 RA),57-67 pounds,Graphite,Medium-High,Medium
Prince,Premier 105L ESP,105 sq. in. / 677.42 sq. cm.,Average - 52% (65 RA),57-67 pounds,Graphite,Medium-High,Medium
Prince,Premier 115 ESP,115 sq. in. / 741.93 sq. cm.,Very high - 90% (73 RA),59-69 pounds,Graphite,High,Medium-Fast
Prince,Premier 115L ESP,115 sq. in. / 741.93 sq. cm.,Very high - 80% (71 RA),59-69 pounds,Graphite,High,Slow-Moderate
Prince,Rebel 98 ESP,98 sq. in. / 632.26 sq. cm.,Low - 28% (60 RA),53-63 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Response 97,97 sq. in. / 625.81 sq. cm.,High - 66% (68 RA),50-60 pounds,Graphite,Low,Fast
Prince,Ripstick 100 280g,100 in / 645.16 cm,Average - 42% (63 RA),50-60 pounds,TexTreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Ripstick 100 300g,100 in / 645.16 cm,Average - 47% (64 RA),50-60 pounds,TexTreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Synergy 98,98 in / 632.26 cm,Low - 28% (60 RA),50-60 pounds,Graphite,Low,Fast
Prince,Textreme Beast 100,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-60 pounds,Textreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Textreme Beast 100L,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-60 pounds,Textreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Textreme Beast Pro 100 LB,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-60 pounds,Textreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Textreme Beast Pro 100 Longbody,100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-60 pounds,Textreme/Twaron/Graphite,Low-Medium,Medium-Fast
Prince,Textreme Premier 105,105 sq. in. / 677.42 sq. cm.,High - 66% (68 RA),53-63 pounds,Graphite/Textreme,Medium,Medium
Prince,Textreme Premier 120,120 sq. in. / 774.19 sq. cm.,Very high - 80% (71 RA),55-65 pounds,Graphite/Textreme,High,Slow
Prince,Textreme Tour 100L,100 sq. in. / 645.16 sq. cm.,Average - 42% (63 RA),48-58 pounds,Graphite & Textreme,Low-Medium,Medium-Fast
Prince,Textreme Tour 100P,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),45-55 pounds,Graphite & Textreme,Low-Medium,Fast
Prince,Textreme Tour 100P Limited Edition,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),45-55 pounds,Graphite & Textreme,Low-Medium,Fast
Prince,Textreme Tour 100T,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),48-58 pounds,Graphite & Textreme,Low-Medium,Medium-Fast
Prince,Textreme Tour 95,95 sq. in. / 612.9 sq. cm.,Low - 28% (60 RA),45-55 pounds,Graphite & Textreme,Low,Fast
Prince,Textreme Warrior 100,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-60 pounds,Graphite/Textreme,Low-Medium,Medium-Fast
Prince,Textreme Warrior 100L,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),53-63 pounds,Graphite/Textreme,Low-Medium,Medium-Fast
Prince,Textreme Warrior 100T,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),53-63 pounds,Textreme/Graphite,Low-Medium,Medium-Fast
Prince,Textreme Warrior 107,107 sq. in. / 690.32 sq. cm.,High - 61% (67 RA),50-60 pounds,Graphite & Textreme,Low-Medium,Medium-Fast
Prince,Textreme Warrior 107 Ltd. Blue,107 sq. in. / 690.32 sq. cm.,High - 61% (67 RA),50-60 pounds,Graphite & Textreme,Low-Medium,Medium-Fast
Prince,Textreme Warrior 107L Pink,107 sq. in. / 690.32 sq. cm.,Average - 52% (65 RA),50-60 pounds,Graphite & Textreme,Medium,Medium
Prince,Textreme Warrior 107T,107 sq. in. / 690.32 sq. cm.,High - 61% (67 RA),50-60 pounds,Graphite & Textreme,Medium,Medium
Prince,Thunder Bolt 110 ESP,110 sq. in. / 710sq. cm.,Average - 47% (64 RA),50-60 pounds,Graphite Composite,Medium-High,Slow-Moderate
Prince,Thunder Extreme 110 ESP,110 sq. in. / 710 sq. cm.,Average - 47% (64 RA),50-60 pounds,Graphite Composite,Medium-High,Slow-Moderate
Prince,Thunder Strike 100 ESP,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Tour 100 (16x18),100 sq. in. / 645.16 sq. cm.,Very low - 9% (56 RA),53-63 pounds,Graphite,Low,Fast
Prince,Tour 100 (18x20),100 sq. in. / 645.16 sq. cm.,Very low - 14% (57 RA),50-60 pounds,Graphite,Low,Fast
Prince,Tour 100T,100 sq. in. / 645.16 sq. cm.,Low - 28% (60 RA),53-63 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Tour 100T ESP,100 sq. in. / 645.16 sq. cm.,Low - 33% (61 RA),55-65 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Tour 95,95 sq. in. / 612.9 sq. cm.,Very low - 19% (58 RA),50-60 pounds,Graphite,Low,Fast
Prince,Tour 98,98 sq. in. / 632.26 sq. cm.,Low - 23% (59 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Tour 98 ESP,98 sq. in. / 632.26 sq. cm.,Low - 28% (60 RA),53-63 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Tour Pro 100,100 sq. in. / 645.16 sq. cm.,Very low - 19% (58 RA),53-63 pounds,Graphite,Low,Fast
Prince,Tour Pro 100 ESP,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),53-63 pounds,Graphite,Low-Medium,Fast
Prince,Tour Pro 98,98 sq. in. / 632.26 sq. cm.,Low - 33% (61 RA),50-60 pounds,Graphite,Low,Fast
Prince,TT AirRip 118,118 sq. in. / 761 sq. cm.,,57-67 pounds,,Low-Medium,
Prince,Twistpower X100 Racquets,100 in² / 645.16 cm²,Average - 57% (66 RA),45-55 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Twistpower X97 Tour,97 in / 625.81 cm,Average - 57% (66 RA),45-55 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Warrior 100,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),53-63 pounds,Graphite,Medium,Medium-Fast
Prince,Warrior 100 (300g),100 in / 645.16 cm,Average - 52% (65 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Warrior 100 ESP,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),55-65 pounds,Graphite,Medium,Medium-Fast
Prince,Warrior 100 Pro,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),53-63 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Warrior 100L ESP,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),55-65 pounds,Graphite,Medium,Medium-Fast
Prince,Warrior 107,107 in / 690.32 cm,High - 66% (68 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Warrior Pro 100,100 sq. in. / 645.16 sq. cm.,Average - 52% (65 RA),53-63 pounds,Graphite,Low-Medium,Medium-Fast
Prince,Warrior Pro 100T ESP,100 sq. in. / 645.16 sq. cm.,Low - 38% (62 RA),55-65 pounds,Graphite,Low-Medium,Fast
