Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Prokennex,Black Ace (300),100 in² / 645.16 cm²,Very low - 4% (55 RA),50-65 pounds,SpiralTech Graphite,Low-Medium,Medium-Fast
Prokennex,Black Ace (315),100 in² / 645.16 cm²,Very low - 9% (56 RA),50-65 pounds,SpiralTech Graphite,Low,Fast
Prokennex,Black Ace 300,100 in² / 645.16 cm²,Very low - 4% (55 RA),50-65 pounds,SpiralTech Graphite,Low-Medium,Medium-Fast
Prokennex,Black Ace 315,100 in² / 645.16 cm²,Very low - 9% (56 RA),50-65 pounds,SpiralTech Graphite,Low,Fast
Prokennex,Black Ace 98,98 sq. in. / 632.26 sq. cm.,Low - 23% (59 RA),55-68 pounds,Spiral Tech Carbon,Low-Medium,Medium-Fast
Prokennex,Heritage Type C Redondo Mid,,,,,,
Prokennex,Heritage Type C Redondo MP,,,,,,
Prokennex,Heritage Type C93 Redondo Mid,,,,,,
Prokennex,Heritage Type C98 Redondo MP,,,,,,
Prokennex,Ionic Ki 15 260,105 sq. in. / 677.42 sq. cm.,High - 66% (68 RA),52-68 pounds,100% Ultra High Modulus Graphite with Kinetic System Technology,Medium,Medium
Prokennex,Ionic Ki 15 PSE,,,,,,
Prokennex,Ionic Ki 20,,,,,,
Prokennex,Ionic Ki 20 PSE,,,,,,
Prokennex,Ionic Ki 30,,,,,,
Prokennex,Ionic Ki 5 315,100 sq. in. / 645.16 sq. cm.,Low - 33% (61 RA),52-68 pounds,100% Ultra Modulus Graphite with Kinetic System Technology,Low-Medium,Medium-Fast
Prokennex,Ionic Ki 5 PSE,,,,,,
Prokennex,Ionic Ki 5x,,,,,,
Prokennex,Ki 10,100 sq. in. / 645.16 sq. cm.,Average - 57% (66 RA),50-65 pounds,Spiral Tech Carbon Graphite,Low-Medium,Medium-Fast
Prokennex,Ki 10 (305),100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),50-65 pounds,Spiral Tech Carbon Graphite,Low-Medium,Medium-Fast
Prokennex,Ki 15 (260),105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),50-65 pounds,Ultra High Modulus Graphite/Spiral Tech Carbon,Medium,Medium
Prokennex,Ki 15 (300),105 sq. in. / 677.42 sq. cm.,High - 71% (69 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki 15 260,105 sq. in. / 677.42 sq. cm.,High - 76% (70 RA),50-65 pounds,Ultra High Modulus Graphite/Spiral Tech Carbon,Medium,Medium
Prokennex,Ki 30,117 sq. in. / 754.84 sq. cm.,High - 71% (69 RA),pounds,Spiral Tech Carbon Graphite,Medium-High,Medium-Fast
Prokennex,Ki 5 (280),100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-65 pounds,Spiral Tech Carbon Graphite,Low-Medium,Medium-Fast
Prokennex,Ki 5 (300),100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),50-65 pounds,Spiral Tech Carbon Graphite,Low-Medium,Medium-Fast
Prokennex,Ki 5 (320),100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-65 pounds,Spiral Tech Carbon Graphite,Low-Medium,Fast
Prokennex,Ki Black Ace Pro,97 in / 625.81 cm,Very low - 14% (57 RA),50-65 pounds,SpiralTech Graphite,Low,Fast
Prokennex,Ki Q Tour (300),98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),50-65 pounds,High Modulus Graphite /Spiral Tech Carbon,Low-Medium,Fast
Prokennex,Ki Q+ 15 (2019),105 in² / 677.42 cm²,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+ 15 (285),105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+ 15 Light (2019),105 in² / 677.42 cm²,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+ 15 Light (260g),105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+ 15 Pro,105 in / 677.42 cm,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+ 20,110 in / 709.68 cm,High - 66% (68 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Medium,Medium
Prokennex,Ki Q+ 30 (2019),119 in² / 767.74 cm²,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/Spiral Tech Carbon,High,Slow
Prokennex,Ki Q+ 30 (260),119 sq. in. / 767.74 sq. cm.,Very high - 85% (72 RA),50-65 pounds,High Modulus Graphite/Spiral Tech Carbon,High,Slow
Prokennex,Ki Q+ 5 (2019),100 in² / 645.16 cm²,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+ 5 (290),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+ 5 Pro (2019),100 in² / 645.16 cm²,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+ 5 Pro (310),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+ 5X Pro (2019),100 in² / 645.16 cm²,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+ 5X Pro (310),100 sq. in. / 645.16 sq. cm.,High - 61% (67 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low-Medium,Medium-Fast
Prokennex,Ki Q+ Tour (2019),98 in² / 632.26 cm²,Average - 42% (63 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
Prokennex,Ki Q+ Tour (300),98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
Prokennex,Ki Q+ Tour Pro (315) (2019),98 in² / 632.26 cm²,Average - 47% (64 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
Prokennex,Ki Q+ Tour Pro (325),98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),50-65 pounds,High Modulus Graphite/SpiralTech Carbon,Low,Fast
