Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Tecnifibre,ATP TFight 280 XTC,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,ATP TFight 295 XTC,100 sq. in. / 645.16 sq. cm.,High - 71% (69 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,ATP TFight 300 XTC,98 sq. in. / 632.26 sq. cm.,High - 71% (69 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,ATP TFight 305 XTC,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),49-55 pounds,Dynacore HD/Graphite,Low,Fast
Tecnifibre,ATP TFight 315 XTC,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,ATP TFight 320 XTC,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),49-55 pounds,Dynacore HD/Graphite,Low,Fast
Tecnifibre,T. Rebound Tempo 290,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),50-55 pounds,Graphite,Low-Medium,Medium-Fast
Tecnifibre,TF40 305,98 in² / 632.26 cm²,Average - 47% (64 RA),49-55 pounds,Dynacore XTC/Graphite,Low,Fast
Tecnifibre,TF40 315,98 in² / 632.26 cm²,Average - 47% (64 RA),49-55 pounds,Dynacore XTC/Graphite,Low,Fast
Tecnifibre,TFight 255,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),55-65 pounds,Graphite & Texalium,Low-Medium,Medium-Fast
Tecnifibre,TFight 295 Dynacore,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),49-55 pounds,Graphite / Dynacore,Low-Medium,Medium-Fast
Tecnifibre,TFight 295 MP,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),55-65 pounds,Graphite & Texalium,Low-Medium,Medium-Fast
Tecnifibre,TFight 295 RS,100 in² / 645.16 cm²,High - 76% (70 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,TFight 295 TP ATP,95 sq. in. / 612.9 sq. cm.,High - 71% (69 RA),55-65 pounds,Graphite & Texalium,Low-Medium,Medium-Fast
Tecnifibre,TFight 300 DC,98 sq. in MP,,,Graphite/Dynacore,Low-Medium,Moderate-Fast
Tecnifibre,TFight 300 Dynacore,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),50-56 pounds,Graphite / Dynacore,Low-Medium,Fast
Tecnifibre,TFight 300 RS,98 in² / 632.26 cm²,Average - 57% (66 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,TFight 305 Dynacore,95 sq. in. / 612.9 sq. cm.,High - 66% (68 RA),50-66 pounds,Graphite / Dynacore,Low,Fast
Tecnifibre,TFight 305 RS,98 in² / 632.26 cm²,High - 61% (67 RA),50-55 pounds,Dynacore HD/Graphite,Low,Fast
Tecnifibre,TFight 305 TP ATP,95 sq. in. / 612.9 sq. cm.,High - 71% (69 RA),55-65 pounds,Graphite and Carbon Stabyl Fibers,Low-Medium,Medium-Fast
Tecnifibre,TFight 315 Dynacore,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),50-56 pounds,Graphite / Dynacore,Low,Fast
Tecnifibre,TFight 315 Ltd. TP ATP 16 Main,98 sq. in. / 632.26 sq. cm.,Low - 23% (59 RA),55-65 pounds,Graphite & Texalium,Low,Fast
Tecnifibre,TFight 315 Ltd. TP ATP 18 Main,98 sq. in. / 632.26 sq. cm.,Low - 33% (61 RA),55-65 pounds,Graphite & Texalium,Low,Fast
Tecnifibre,TFight 315 RS,98 in² / 632.26 cm²,High - 71% (69 RA),49-55 pounds,Dynacore HD/Graphite,Low-Medium,Medium-Fast
Tecnifibre,TFight 320 TP ATP,95 sq. in. / 612.9 sq. cm.,Average - 57% (66 RA),55-65 pounds,Graphite & Texalium,Low,Fast
Tecnifibre,TFight 325 Dynacore,95 sq. in. / 612.9 sq. cm.,High - 61% (67 RA),50-56 pounds,Graphite / Dynacore,Low,Fast
Tecnifibre,TFight 325 TP ATP,95 sq. in. / 612.9 sq. cm.,High - 66% (68 RA),55-65 pounds,Graphite & Texalium,Low,Fast
Tecnifibre,TFight DC 300,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),49-62 pounds,Graphite/Dynacore,Low-Medium,Fast
Tecnifibre,TFight DC 305,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),49-62 pounds,Graphite/Dynacore,Low,Fast
Tecnifibre,TFight DC 315,98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),49-62 pounds,Graphite/Dynacore,Low,Fast
Tecnifibre,TFight DC 320,98 sq. in. / 632.26 sq. cm.,High - 66% (68 RA),49-62 pounds,Graphite/Dynacore,Low,Fast
Tecnifibre,TFlash 270 CES,100 in² / 645.16 cm²,Very high - 85% (72 RA),49-55 pounds,Graphite,Low-Medium,Medium-Fast
Tecnifibre,TFlash 270 PS,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),49-59 pounds,Graphite w/Sensor Link Dampening,Low-Medium,Medium-Fast
Tecnifibre,TFlash 285 CES,100 in² / 645.16 cm²,Very high - 85% (72 RA),49-55 pounds,Graphite,Low-Medium,Medium-Fast
Tecnifibre,TFlash 285 PS,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),49-59 pounds,Graphite w/Sensor Link Dampening,Low-Medium,Medium-Fast
Tecnifibre,TFlash 300 ATP,100 sq. in. / 645.16 sq. cm.,Very high - 85% (72 RA),49-59 pounds,Graphite,Medium,Medium-Fast
Tecnifibre,TFlash 300 CES,100 in² / 645.16 cm²,Very high - 85% (72 RA),49-55 pounds,Graphite,Low-Medium,Medium-Fast
Tecnifibre,TFlash 300 Dynacore ATP,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),50-56 pounds,Graphite & Dynacore,Medium,Medium-Fast
Tecnifibre,TFlash 300 PS,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),49-59 pounds,Graphite w/Sensor Link Dampening,Low-Medium,Medium-Fast
Tecnifibre,TFlash 315 ATP,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),49-59 pounds,Graphite,Medium,Medium-Fast
Tecnifibre,TFlash 315 Dynacore ATP,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),50-56 pounds,Graphite & Dynacore,Low-Medium,Fast
Tecnifibre,TRebound 265 Pro,105 sq. in. / 677.42 sq. cm.,Very high - 85% (72 RA),49-55 pounds,Graphite & Texalium,Medium,Medium
Tecnifibre,TRebound 295 Pro,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),49-55 pounds,Graphite & Carbone 3K,Low-Medium,Medium-Fast
Tecnifibre,TRebound 298 IGA,98 in / 632.26 cm,Very high - 80% (71 RA),50-55 pounds,Dynacore/Graphite,Low-Medium,Medium-Fast
