Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Volkl,C10 Pro,,,,,,
Volkl,C10 Pro Matte Finish,98 sq. in MP,Low - 28% (60 RA),,Carbon Graphite,Low,Fast
Volkl,Classic V1,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 DE,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 Japan,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 Ltd. Red/White/Blue,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 Ltd. Red/Yellow,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 Ltd. White/Red,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 Spain,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Classic V1 USA,102 sq. in. / 658.06 sq. cm.,High - 71% (69 RA),50-60 pounds,High Modulus Graphite/Kevlar,Medium,Moderate
Volkl,Organix 1,115 sq. in. / 741.93 sq. cm.,Very high - 90% (73 RA),48-58 pounds,Organix / Carbon / Fiberglass,High,Slow-Moderate
Volkl,Organix 10 (295g),98 sq. in. / 632.26 sq. cm.,Low - 38% (62 RA),50-60 pounds,Organix / Carbon / Fiberglass,Low,Fast
Volkl,Organix 10 (325g),98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),50-60 pounds,Organix / Carbon / Fiberglass,Low,Fast
Volkl,Organix 10 Mid,93 sq. in. / 600 sq. cm.,Low - 23% (59 RA),50-60 pounds,Organix / Carbon / Fiberglass,Low,Fast
Volkl,Organix 3,110 sq. in. / 709.68 sq. cm.,High - 71% (69 RA),46-60 pounds,Organix / Carbon / Fiberglass,Medium-High,Medium-Fast
Volkl,Organix 5,100 sq. in. / 645.16 sq. cm.,Very high - 80% (71 RA),50-60 pounds,Organix / Carbon / Fiberglass,Medium,Medium
Volkl,Organix 7 (295g),104 sq. in. / 670.97 sq. cm.,Very high - 95% (74 RA),50-60 pounds,Organix / Carbon / Fiberglass,Medium,Medium
Volkl,Organix 7 (310g),104 sq. in. / 670.97 sq. cm.,Very high - 90% (73 RA),50-60 pounds,Organix / Carbon / Fiberglass,Low-Medium,Medium-Fast
Volkl,Organix 9,98 sq. in. / 632.26 sq. cm.,High - 71% (69 RA),50-60 pounds,Organix / Carbon / Fiberglass,Low-Medium,Medium-Fast
Volkl,Organix V1 Midplus,102 sq. in. / 658.06 sq. cm.,Average - 57% (66 RA),50-60 pounds,Organix / Carbon / Fiberglass,Medium-High,Medium
Volkl,Organix V1 Oversize,110 sq. in. / 709.68 sq. cm.,Average - 57% (66 RA),50-60 pounds,Organix / Carbon / Fiberglass,High,Slow-Moderate
Volkl,Organix V1 Pro,99.5 sq. in. / 641.93 sq. cm.,High - 66% (68 RA),50-60 pounds,"Organix, Carbon, Fiberglass",Low-Medium,Medium-Fast
Volkl,Power Bridge 10 (2013) Mid,93 sq. in. / 600 sq. cm.,Low - 23% (59 RA),50-60 pounds,"DNX, Carbon, Fiberglass",Low,Fast
