Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Wilson,Blade 100L v7,100 in² / 645.16 cm²,High - 71% (69 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
Wilson,Blade 104,104 sq. in. / 670.97 sq. cm.,Low - 23% (59 RA),49-59 pounds,Braided Graphite & Basalt,Low-Medium,Medium-Fast
Wilson,Blade 104 v7,104 in² / 670.97 cm²,Low - 28% (60 RA),50-60 pounds,Braided Graphite,Low-Medium,Medium-Fast
Wilson,Blade 93,93 sq. in. / 600 sq. cm.,High - 61% (67 RA),50-60 pounds,Basalt,Low,Fast
Wilson,Blade 98 (16x19),98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),50-60 pounds,Basalt,Medium,Fast
Wilson,Blade 98 (16x19) Countervail,98 sq. in. / 632.26 sq. cm.,Average - 57% (66 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98 (16x19) v7,98 in² / 632.26 cm²,Low - 38% (62 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98 (18x20),98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),47-57 pounds,Braided Graphite & Basalt,Low,Medium-Fast
Wilson,Blade 98 (18x20) Countervail,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98 (18x20) Countervail Lime LE,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98 (18x20) v7,98 in² / 632.26 cm²,Low - 38% (62 RA),50-60 pounds,Braided Graphite & Basalt,Low,Fast
Wilson,Blade 98 16x19 Roland Garros,98 in / 632.26 cm,Low - 38% (62 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98 16x19 v7,98 in² / 632.26 cm²,Low - 38% (62 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98 18x20 Countervail,98 sq. in. / 632.26 sq. cm.,Average - 52% (65 RA),50-60 pounds,Braided Graphite & Basalt,Low-Medium,Fast
Wilson,Blade 98L (16x19),98 sq. in. / 632.26 sq. cm.,High - 61% (67 RA),50-60 pounds,Graphite,Low-Medium,Medium-Fast
