Brand,Frame,Head size,Stiffness,Recommended tension,Composition,Power level,Swing speed
Yonex,Astrel 100,100 in² / 645.16 cm²,High - 66% (68 RA),40-55 pounds,Graphite,Low-Medium,Medium-Fast
Yonex,Astrel 105,105 sq. in. / 677.42 sq. cm.,High - 66% (68 RA),40-55 pounds,"HM Graphite, Vibslayer Carbon, Quake Shut Gel +",Medium,Medium
Yonex,Astrel 115,115 sq. in. / 741.93 sq. cm.,Average - 57% (66 RA),40-55 pounds,"HM Graphite, Vibslayer Carbon, Quake Shut Gel +",Medium-High,Slow-Moderate
Yonex,EZONE 100,100 in² / 645.16 cm²,High - 71% (69 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 100 (285g),100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 100 (300g),100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 100 (300g) Blue,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 100 Naomi Osaka LE,100 in² / 645.16 cm²,High - 71% (69 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 100+,100 in² / 645.16 cm²,High - 76% (70 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 100+ (300g) Blue,100 sq. in. / 645.16 sq. cm.,High - 76% (70 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 100L,100 in² / 645.16 cm²,High - 66% (68 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 100L Naomi Osaka LE,100 in² / 645.16 cm²,High - 66% (68 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 108,108 sq. in. / 696.77 sq. cm.,High - 61% (67 RA),40-55 pounds,"H.M. Graphite, NANOMETRIC DR, Quake Shut Gel Air",Medium,Medium
Yonex,EZONE 98,98 in² / 632.26 cm²,Average - 47% (64 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 98 (285g),98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 98 (305g),98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 98 (305g) Blue,98 sq. in. / 632.26 sq. cm.,Average - 42% (63 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE 98 Naomi Osaka LE,98 in² / 632.26 cm²,Average - 47% (64 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 98 Tour,98 in² / 632.26 cm²,Low - 38% (62 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 98+,98 in² / 632.26 cm²,Average - 47% (64 RA),45-60 pounds,M40X/HM Graphite,Low-Medium,Medium-Fast
Yonex,EZONE 98+ (305g) Blue,98 sq. in. / 632.26 sq. cm.,Average - 47% (64 RA),45-60 pounds,"HM Graphite, Hyper MG, Nanometric DR, Quake Shut Gel Air",Low-Medium,Medium-Fast
Yonex,EZONE Ai 100,100 sq. in. / 645.16 sq. cm.,High - 66% (68 RA),45-60 pounds,H.M. Graphite,Low-Medium,Fast
Yonex,EZONE Ai 108,108 sq. in. / 696.77 sq. cm.,High - 66% (68 RA),45-60 pounds,H.M. Graphite,Medium,Medium
