String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),40,Medium,Polyester,267.5,47.2,
Luxilon 4G 16L (1.25),40,Medium,Polyester,254.9,38.9,3.9
Luxilon 4G Rough 16L,40,Medium,Polyester,197.7,65.4,4.2
Luxilon 4G S 15,40,Medium,Polyester,292.0,45.2,
Luxilon 4G Soft 1.25,40,Medium,Polyester,216.6,37.3,6.7
Double AR 666 (1.30),40,Medium,Nylon,145.7,30.6,5.8
Gosen A.K. Control 16,40,Medium,Nylon,134.9,27.2,5.4
Babolat Addiction 16,40,Medium,Nylon,156.6,23.5,3.1
Babolat Addiction 17,40,Medium,Nylon,135.4,24.4,2.6
Luxilon Adrenaline 16,40,Medium,Polyester,197.7,57.8,3.6
Luxilon Adrenaline 16L/1.25,40,Medium,Polyester,184.6,55.6,3.5
Luxilon Adrenaline 17/1.20,40,Medium,Polyester,200.0,50.1,2.9
Luxilon Adrenaline Rough 16L/1.25,40,Medium,Polyester,188.0,59.2,3.3
Gosen AK Pro 16,40,Medium,Nylon,157.2,26.5,4.3
Gosen AK Pro 17,40,Medium,Nylon,141.2,23.9,4.4
Luxilon ALU Power 125/16L,40,Medium,Polyester,198.9,54.7,5.8
Luxilon ALU Power Feel 18/1.20,40,Medium,Polyester,166.9,64.3,5.4
Luxilon Alu Power Soft 1.25,40,Medium,Polyester,174.9,55.2,6.9
Klip Armour Pro 16/1.30,40,Medium,Gut,109.7,19.3,1.4
Gamma Asterisk 16,40,Medium,Nylon,133.2,22.8,3.8
Gamma Asterisk Spin 16,40,Medium,Nylon,126.9,27.5,3.9
Gamma Asterisk Tour 16,40,Medium,Nylon/Zyex,142.9,26.7,3.4
Pacific ATP Poly Power Pro 16L,40,Medium,Polyester,190.9,55.7,5.0
Babolat Attraction 16,40,Medium,Nylon/Polyurethane,141.2,24.3,2.7
IsoSpeed Axon Mono 16L,40,Medium,Polyester,197.7,37.7,3.2
IsoSpeed Axon Multi 16L,40,Medium,Nylon/Polyolefin,128.0,34.4,3.0
Babolat Ballistic Polymono 16,40,Medium,Polyester,225.2,52.1,4.7
Solinco Barb Wire 16,40,Medium,Polyester,218.9,44.7,4.4
Solinco Barb Wire 17 (1.20),40,Medium,Polyester,182.3,46.1,4.9
Prince Beast XP 16,40,Medium,Polyester,186.9,50.1,3.9
Luxilon Big Banger Ace 18 (1.12),40,Medium,Polyester,186.9,58.1,4.0
Luxilon Big Banger ALU Power Fluoro 17,40,Medium,Polyester,188.0,54.7,
Luxilon Big Banger ALU Power Spin 127/16,40,Medium,Polyester,201.2,55.2,4.3
Luxilon Big Banger Original 130/16,40,Medium,Polyester,205.2,58.7,4.8
Luxilon Big Banger Rough 130/16,40,Medium,Polyester,197.7,62.5,4.4
Luxilon Big Banger Timo 17 (1.22),40,Medium,Polyester,187.5,56.4,3.9
Luxilon Big Banger TiMO 17L (1.17),40,Medium,Polyester,182.9,58.9,4.4
Luxilon Big Banger Timo 18 (1.10),40,Medium,Polyester,182.3,54.7,3.6
Luxilon Big Banger XP 125/16L,40,Medium,Polyester,201.7,54.7,4.1
Luxilon Big Banger XP 15L (1.38),40,Medium,Polyester,240.0,55.0,3.6
Tourna Big Hitter 16,40,Medium,Polyester,230.3,46.0,
Tourna Big Hitter Black 7 17,40,Medium,Polyester,176.0,46.2,6.3
Tourna Big Hitter Blue 16,40,Medium,Polyester,233.2,45.1,
Tourna Big Hitter Blue 17,40,Medium,Polyester,230.9,43.8,4.9
Tourna Big Hitter Blue Rough 16,40,Medium,Polyester,204.6,54.5,3.4
Tourna Big Hitter Blue Rough 17,40,Medium,Polyester,190.3,59.8,3.2
Tourna Big Hitter Silver 17,40,Medium,Polyester,181.2,51.1,5.4
Tourna Big Hitter Silver Rough 16,40,Medium,Polyester,186.3,57.5,4.5
Tourna Big Hitter Silver Rough 17,40,Medium,Polyester,182.9,53.3,4.1
Weiss Cannon Black 5 Edge 17 (1.24),40,Medium,Polyester,194.9,56.7,4.7
Tecnifibre Black Code 16,40,Medium,Polyester,235.5,45.1,
Tecnifibre Black Code 17,40,Medium,Polyester,228.6,49.7,4.2
Tecnifibre Black Code 18,40,Medium,Polyester,196.6,51.2,4.6
Tecnifibre Black Code 4S 17 (1.25),40,Medium,Polyester,201.7,47.6,9.8
Alien Black Diamond 16,40,Medium,Polyester,174.3,61.1,4.5
IsoSpeed Black Fire 17,40,Medium,Polyester,197.2,49.8,5.6
Kirschbaum Black Shark 16 (1.30),40,Medium,Polyester,207.5,55.9,5.4
Kirschbaum Black Shark 17 (1.25),40,Medium,Polyester,186.9,54.8,5.8
Polyfibre Black Venom 16 (1.30),40,Medium,Polyester,180.0,60.4,4.3
Polyfibre Black Venom 16L (1.25),40,Medium,Polyester,162.3,63.9,
Dunlop Black Widow 16,40,Medium,Polyester,199.5,44.5,5.2
Dunlop Black Widow 17,40,Medium,Polyester,217.7,39.4,5.4
Tourna Black Zone 16,40,Medium,Polyester,202.3,38.1,5.6
Boris Becker Bomber 16,40,Medium,Polyester,187.5,58.7,5.1
Boris Becker Bomber 17,40,Medium,Polyester,169.2,57.8,
One Strings Carbon NRG 16,40,Medium,Polyester,178.3,50.7,5.1
One Strings Carbon Tour 17 (1.25),40,Medium,Polyester,234.3,39.9,
Poly Star Classic 16 (1.30),40,Medium,Polyester,191.5,58.1,4.2
Poly Star Classic 16L (1.25),40,Medium,Polyester,171.5,59.1,4.4
Poly Star Classic 17 (1.20),40,Medium,Polyester,158.9,65.0,4.0
Pacific Classic Natural Gut 16,40,Medium,Gut,95.4,19.3,2.8
MSV Co.-Focus 16L,40,Medium,Polyester,176.6,60.1,4.2
Polyfibre Cobra 17/1.20,40,Medium,Polyester,145.2,65.1,3.6
Mantis Comfort Poly 16,40,Medium,Polyester,229.7,44.3,4.8
Dunlop Comfort Poly 17,40,Medium,Polyester,214.9,58.2,4.5
Mantis Comfort Synthetic 16,40,Medium,Nylon,117.7,27.0,3.8
Dunlop Comfort Synthetic 16,40,Medium,Nylon,144.0,25.8,4.1
Dunlop Comfort Synthetic 17,40,Medium,Nylon,149.7,28.3,
Kirschbaum Competition 16/1.30,40,Medium,Polyester,199.5,53.6,4.9
Kirschbaum Competition 17 (1.25),40,Medium,Polyester,188.0,60.4,4.5
Kirschbaum Competition 17L (1.20),40,Medium,Polyester,171.5,57.6,4.1
Gosen Compositemaster I 16,40,Medium,Nylon,142.9,24.8,4.2
