String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),40,Slow,Polyester,296.0,47.4,
Luxilon 4G 16L (1.25),40,Slow,Polyester,298.3,38.7,3.9
Luxilon 4G Rough 16L,40,Slow,Polyester,210.3,63.4,4.2
Luxilon 4G S 15,40,Slow,Polyester,328.6,45.6,
Luxilon 4G Soft 1.25,40,Slow,Polyester,227.5,37.2,6.7
Double AR 666 (1.30),40,Slow,Nylon,146.9,29.9,5.8
Gosen A.K. Control 16,40,Slow,Nylon,134.3,26.7,5.4
Babolat Addiction 16,40,Slow,Nylon,160.0,23.1,3.1
Babolat Addiction 17,40,Slow,Nylon,138.3,24.1,2.6
Luxilon Adrenaline 16,40,Slow,Polyester,221.2,57.9,3.6
Luxilon Adrenaline 16L/1.25,40,Slow,Polyester,220.0,55.6,3.5
Luxilon Adrenaline 17/1.20,40,Slow,Polyester,220.0,49.9,2.9
Luxilon Adrenaline Rough 16L/1.25,40,Slow,Polyester,208.6,59.1,3.3
Gosen AK Pro 16,40,Slow,Nylon,157.7,25.8,4.3
Gosen AK Pro 17,40,Slow,Nylon,146.3,23.6,4.4
Luxilon ALU Power 125/16L,40,Slow,Polyester,217.7,54.9,5.8
Luxilon ALU Power Feel 18/1.20,40,Slow,Polyester,180.6,63.2,5.4
Luxilon Alu Power Soft 1.25,40,Slow,Polyester,192.0,55.3,6.9
Klip Armour Pro 16/1.30,40,Slow,Gut,113.7,18.7,1.4
Gamma Asterisk 16,40,Slow,Nylon,130.3,22.1,3.8
Gamma Asterisk Spin 16,40,Slow,Nylon,125.2,26.9,3.9
Gamma Asterisk Tour 16,40,Slow,Nylon/Zyex,146.3,26.3,3.4
Pacific ATP Poly Power Pro 16L,40,Slow,Polyester,228.6,55.8,5.0
Babolat Attraction 16,40,Slow,Nylon/Polyurethane,140.0,24.1,2.7
IsoSpeed Axon Mono 16L,40,Slow,Polyester,215.5,37.4,3.2
IsoSpeed Axon Multi 16L,40,Slow,Nylon/Polyolefin,138.3,33.5,3.0
Babolat Ballistic Polymono 16,40,Slow,Polyester,267.5,52.2,4.7
Solinco Barb Wire 16,40,Slow,Polyester,252.6,44.6,4.4
Solinco Barb Wire 17 (1.20),40,Slow,Polyester,204.6,45.8,4.9
Prince Beast XP 16,40,Slow,Polyester,212.0,50.1,3.9
Luxilon Big Banger Ace 18 (1.12),40,Slow,Polyester,202.9,58.3,4.0
Luxilon Big Banger ALU Power Fluoro 17,40,Slow,Polyester,221.2,54.8,
Luxilon Big Banger ALU Power Spin 127/16,40,Slow,Polyester,226.3,55.2,4.3
Luxilon Big Banger Original 130/16,40,Slow,Polyester,220.6,58.9,4.8
Luxilon Big Banger Rough 130/16,40,Slow,Polyester,226.9,62.3,4.4
Luxilon Big Banger Timo 17 (1.22),40,Slow,Polyester,223.5,56.4,3.9
Luxilon Big Banger TiMO 17L (1.17),40,Slow,Polyester,197.7,58.8,4.4
Luxilon Big Banger Timo 18 (1.10),40,Slow,Polyester,200.6,54.7,3.6
Luxilon Big Banger XP 125/16L,40,Slow,Polyester,232.0,54.6,4.1
Luxilon Big Banger XP 15L (1.38),40,Slow,Polyester,256.0,55.1,3.6
Tourna Big Hitter 16,40,Slow,Polyester,266.9,45.8,
Tourna Big Hitter Black 7 17,40,Slow,Polyester,200.0,46.4,6.3
Tourna Big Hitter Blue 16,40,Slow,Polyester,264.0,45.2,
Tourna Big Hitter Blue 17,40,Slow,Polyester,257.7,43.8,4.9
Tourna Big Hitter Blue Rough 16,40,Slow,Polyester,233.7,54.5,3.4
Tourna Big Hitter Blue Rough 17,40,Slow,Polyester,210.9,59.7,3.2
Tourna Big Hitter Silver 17,40,Slow,Polyester,211.5,50.8,5.4
Tourna Big Hitter Silver Rough 16,40,Slow,Polyester,218.9,57.7,4.5
Tourna Big Hitter Silver Rough 17,40,Slow,Polyester,202.9,53.6,4.1
Weiss Cannon Black 5 Edge 17 (1.24),40,Slow,Polyester,229.7,56.9,4.7
Tecnifibre Black Code 16,40,Slow,Polyester,261.7,45.1,
Tecnifibre Black Code 17,40,Slow,Polyester,250.9,49.4,4.2
Tecnifibre Black Code 18,40,Slow,Polyester,219.5,51.1,4.6
Tecnifibre Black Code 4S 17 (1.25),40,Slow,Polyester,214.3,47.7,9.8
Alien Black Diamond 16,40,Slow,Polyester,205.2,61.6,4.5
IsoSpeed Black Fire 17,40,Slow,Polyester,230.9,50.0,5.6
Kirschbaum Black Shark 16 (1.30),40,Slow,Polyester,242.3,56.3,5.4
Kirschbaum Black Shark 17 (1.25),40,Slow,Polyester,232.6,55.4,5.8
Polyfibre Black Venom 16 (1.30),40,Slow,Polyester,218.3,60.3,4.3
Polyfibre Black Venom 16L (1.25),40,Slow,Polyester,186.9,63.8,
Dunlop Black Widow 16,40,Slow,Polyester,221.2,44.6,5.2
Dunlop Black Widow 17,40,Slow,Polyester,250.3,39.4,5.4
Tourna Black Zone 16,40,Slow,Polyester,220.6,38.4,5.6
Boris Becker Bomber 16,40,Slow,Polyester,212.0,58.7,5.1
Boris Becker Bomber 17,40,Slow,Polyester,197.2,57.5,
One Strings Carbon NRG 16,40,Slow,Polyester,201.2,50.7,5.1
One Strings Carbon Tour 17 (1.25),40,Slow,Polyester,258.3,39.7,
Poly Star Classic 16 (1.30),40,Slow,Polyester,238.3,58.0,4.2
Poly Star Classic 16L (1.25),40,Slow,Polyester,207.5,58.9,4.4
Poly Star Classic 17 (1.20),40,Slow,Polyester,188.6,65.0,4.0
Pacific Classic Natural Gut 16,40,Slow,Gut,98.9,18.7,2.8
MSV Co.-Focus 16L,40,Slow,Polyester,206.9,59.8,4.2
Polyfibre Cobra 17/1.20,40,Slow,Polyester,176.6,64.9,3.6
Mantis Comfort Poly 16,40,Slow,Polyester,261.2,44.1,4.8
Dunlop Comfort Poly 17,40,Slow,Polyester,241.2,57.9,4.5
Mantis Comfort Synthetic 16,40,Slow,Nylon,117.2,26.7,3.8
Dunlop Comfort Synthetic 16,40,Slow,Nylon,145.7,25.4,4.1
Dunlop Comfort Synthetic 17,40,Slow,Nylon,152.0,28.0,
Kirschbaum Competition 16/1.30,40,Slow,Polyester,234.9,53.7,4.9
Kirschbaum Competition 17 (1.25),40,Slow,Polyester,211.5,60.7,4.5
Kirschbaum Competition 17L (1.20),40,Slow,Polyester,198.3,57.2,4.1
Gosen Compositemaster I 16,40,Slow,Nylon,140.0,24.4,4.2
Gosen Compositemaster II 16,40,Slow,Nylon,121.7,26.6,4.5
Babolat Conquest 16,40,Slow,Nylon,141.7,32.4,4.3
IsoSpeed Control 16,40,Slow,Nylon/Polyolefin,148.0,29.5,
IsoSpeed Control Classic 16,40,Slow,Polyolefin,152.0,34.3,2.3
Topspin Cyber Blue 16,40,Slow,Polyester,217.2,50.0,5.8
Topspin Cyber Blue 17,40,Slow,Polyester,213.7,50.2,5.1
Topspin Cyber Flash 16,40,Slow,Polyester,214.3,52.7,4.8
Topspin Cyber Flash 17,40,Slow,Polyester,180.0,55.7,4.2
Topspin Cyber Flash 17L,40,Slow,Polyester,164.6,59.0,4.6
Volkl Cyclone 16,40,Slow,Polyester,219.5,58.1,6.2
Volkl Cyclone 17,40,Slow,Polyester,214.3,56.3,5.8
Volkl Cyclone 18,40,Slow,Polyester,196.0,56.8,7.1
Volkl Cyclone 19 (1.10),40,Slow,Polyester,199.5,45.5,8.2
Volkl Cyclone Tour 17 (1.25),40,Slow,Polyester,184.0,64.0,6.1
Double AR Diablo (1.24),40,Slow,Polyester,185.2,61.9,7.4
Double AR Diablo (1.31),40,Slow,Polyester,182.3,66.0,7.7
Dunlop DNA 16 (1.30),40,Slow,Nylon,122.9,29.3,3.6
Dunlop DNA 17 (1.22),40,Slow,Nylon,121.7,33.4,4.1
Babolat Duralast 16,40,Slow,Polyester,237.2,53.8,
Babolat Duralast 17,40,Slow,Polyester,253.7,49.3,
Tecnifibre Duramix HD 16,40,Slow,Nylon/Polyester,145.2,45.5,2.2
Tecnifibre Duramix HD 17,40,Slow,Nylon/Polyester,157.2,40.1,1.7
Ashaway Dynamite 17,40,Slow,Nylon/Zyex,133.2,40.5,3.0
Ashaway Dynamite Soft 17,40,Slow,Nylon/Zyex,114.9,33.2,2.6
Ashaway Dynamite Soft 18,40,Slow,Nylon/Zyex,105.2,33.0,
Ashaway Dynamite WB 16,40,Slow,Nylon/Zyex,124.0,45.6,3.3
Tecnifibre E-Matrix 16,40,Slow,Nylon/Polyurethane,128.6,22.4,2.7
Tecnifibre E-Matrix 17,40,Slow,Nylon,131.4,21.1,2.4
Luxilon Element 1.30,40,Slow,Polyester,192.0,59.0,6.6
Wilson Enduro Gold 16,40,Slow,Polyester,236.6,52.3,
Wilson Enduro Mono 16L,40,Slow,Polyester,251.5,49.8,
Wilson Enduro Pro 16,40,Slow,Polyester,252.6,41.6,4.7
Wilson Enduro Pro 17 (1.25),40,Slow,Nylon/Polyester,264.0,38.4,4.0
Wilson Enduro Tour 16,40,Slow,Polyester,300.6,42.3,5.2
Wilson Enduro Tour 17,40,Slow,Polyester,189.2,67.2,4.8
Wilson Enduro Tour 18,40,Slow,Polyester,177.7,68.3,
IsoSpeed Energetic 17,40,Slow,Nylon/Polyolefin,164.0,34.4,1.9
IsoSpeed Energetic Plus 16,40,Slow,Nylon/Polyester,165.2,27.9,2.4
Poly Star Energy 16 (1.30),40,Slow,Polyester,198.3,69.5,4.0
Poly Star Energy 16L (1.25),40,Slow,Polyester,196.6,72.3,3.7
Poly Star Energy 17 (1.20),40,Slow,Polyester,185.2,66.5,4.0
Gamma ESP 16,40,Slow,Nylon,140.0,28.4,2.6
Head ETS 16,40,Slow,Nylon,154.3,26.6,1.9
Head ETS 17,40,Slow,Nylon,147.4,26.2,1.9
Klip Excellerator 16/1.30,40,Slow,Nylon,142.9,23.3,2.7
Weiss Cannon Explosiv 1.30,40,Slow,Nylon,109.7,25.7,4.0
Dunlop Explosive 16,40,Slow,Polyester,260.6,41.3,4.8
Dunlop Explosive Poly Max 16,40,Slow,Nylon/Polyester,149.7,26.4,3.4
Dunlop Explosive Synthetic 16,40,Slow,Nylon,156.0,23.2,3.6
Dunlop Explosive Synthetic Gut 17,40,Slow,Nylon,156.6,23.1,
Wilson Extreme 16 Synthetic Gut,40,Slow,Nylon,156.6,23.6,3.2
Head Fibergel Power 16,40,Slow,Nylon,145.7,35.9,3.0
Head Fibergel Power 17,40,Slow,Nylon,154.9,29.8,3.1
Head Fibergel Spin 16,40,Slow,Nylon,142.9,26.6,3.5
Babolat FiberTour 16,40,Slow,Nylon,144.6,25.6,3.1
Signum Pro Firestorm 1.25,40,Slow,Polyester,228.0,54.6,4.8
MSV Focus Evo 16,40,Slow,Polyester,268.0,53.0,4.9
MSV Focus Evo 17,40,Slow,Polyester,240.6,56.3,4.5
MSV Focus Hex 17L (1.18),40,Slow,Polyester,242.9,45.1,6.5
MSV Focus Hex Soft 17 (1.25),40,Slow,Polyester,256.6,47.2,6.3
Head FXP 16,40,Slow,Nylon/Polyester,150.3,23.7,3.8
Head FXP 17,40,Slow,Nylon,159.4,22.8,4.1
Head FXP Power 16,40,Slow,Nylon,141.7,28.4,4.6
Head FXP Power 17,40,Slow,Nylon,130.3,25.7,4.5
Head FXP Tour 16,40,Slow,Nylon/Polyester,128.6,31.9,4.2
