String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
LaserFibre 1200 16 (1.30),51,Fast,Nylon,137.7,18.4,5.7
Luxilon 4G 16 (1.30),51,Fast,Polyester,286.9,23.5,
Luxilon 4G 16L (1.25),51,Fast,Polyester,258.9,21.3,3.9
Luxilon 4G Rough 16L,51,Fast,Polyester,216.0,32.8,4.2
Luxilon 4G S 15,51,Fast,Polyester,314.3,23.5,
Luxilon 4G Soft 1.25,51,Fast,Polyester,217.2,25.4,6.7
Weiss Cannon 6 Star 16 (1.30),51,Fast,Nylon,151.4,16.3,4.7
Double AR 666 (1.30),51,Fast,Nylon,161.7,24.3,5.8
Gosen A.K. Control 16,51,Fast,Nylon,156.6,22.4,5.4
Babolat Addiction 16,51,Fast,Nylon,167.4,20.1,3.1
Babolat Addiction 17,51,Fast,Nylon,153.7,20.1,2.6
Luxilon Adrenaline 16,51,Fast,Polyester,212.6,45.3,3.6
Luxilon Adrenaline 16L/1.25,51,Fast,Polyester,202.9,44.3,3.5
Luxilon Adrenaline 17/1.20,51,Fast,Polyester,208.0,41.8,2.9
Luxilon Adrenaline Rough 16L/1.25,51,Fast,Polyester,202.9,44.8,3.3
Gosen AK Control 17 (1.24),51,Fast,Nylon,148.6,17.3,7.6
Gosen AK Pro 16,51,Fast,Nylon,173.7,21.9,4.3
Gosen AK Pro 17,51,Fast,Nylon,162.3,20.7,4.4
Gosen AK Pro CX 16 (1.30),51,Fast,Nylon,158.3,14.1,6.5
Gosen AK Pro CX 17 (1.24),51,Fast,Nylon,156.6,14.7,6.2
Gosen AK Pro Spin 15L (1.38),51,Fast,Nylon,168.6,11.7,6.0
Luxilon ALU Power 125/16L,51,Fast,Polyester,209.2,46.6,5.8
Luxilon ALU Power Feel 18/1.20,51,Fast,Polyester,186.9,42.9,5.4
Luxilon ALU Power Rough 16L (1.25),51,Fast,Polyester,209.2,39.6,6.5
Luxilon Alu Power Soft 1.25,51,Fast,Polyester,197.7,36.6,6.9
Luxilon Alu Power Vibe 16 (1.25),51,Fast,Polyester,208.0,34.3,5.0
Klip Armour Pro 16/1.30,51,Fast,Gut,109.2,16.3,1.4
Gamma Asterisk 16,51,Fast,Nylon,156.6,21.2,3.8
Gamma Asterisk Spin 16,51,Fast,Nylon,149.7,24.5,3.9
Gamma Asterisk Tour 16,51,Fast,Nylon/Zyex,162.3,24.6,3.4
Pacific ATP Poly Power Pro 16L,51,Fast,Polyester,194.3,51.1,5.0
Babolat Attraction 16,51,Fast,Nylon/Polyurethane,157.7,20.0,2.7
IsoSpeed Axon Mono 16L,51,Fast,Polyester,199.5,34.4,3.2
IsoSpeed Axon Multi 16L,51,Fast,Nylon/Polyolefin,126.3,29.1,3.0
Babolat Ballistic Polymono 16,51,Fast,Polyester,217.7,45.9,4.7
Solinco Barb Wire 16,51,Fast,Polyester,214.3,40.2,4.4
Solinco Barb Wire 16L (1.25),51,Fast,Polyester,182.9,33.5,5.6
Solinco Barb Wire 17 (1.20),51,Fast,Polyester,186.3,42.6,4.9
Prince Beast XP 16,51,Fast,Polyester,198.9,41.7,3.9
Luxilon Big Banger Ace 18 (1.12),51,Fast,Polyester,203.5,46.1,4.0
Luxilon Big Banger ALU Power Fluoro 17,51,Fast,Polyester,206.9,44.8,
Luxilon Big Banger ALU Power Spin 127/16,51,Fast,Polyester,213.7,45.0,4.3
Luxilon Big Banger Original 130/16,51,Fast,Polyester,213.2,51.4,4.8
Luxilon Big Banger Rough 130/16,51,Fast,Polyester,212.6,52.0,4.4
Luxilon Big Banger Timo 17 (1.22),51,Fast,Polyester,206.9,44.3,3.9
Luxilon Big Banger TiMO 17L (1.17),51,Fast,Polyester,204.0,45.9,4.4
Luxilon Big Banger Timo 18 (1.10),51,Fast,Polyester,189.2,45.4,3.6
Luxilon Big Banger XP 125/16L,51,Fast,Polyester,209.2,49.0,4.1
Luxilon Big Banger XP 15L (1.38),51,Fast,Polyester,236.6,48.0,3.6
