String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),51,Medium,Polyester,317.2,23.0,
Luxilon 4G 16L (1.25),51,Medium,Polyester,292.0,20.9,3.9
Luxilon 4G Rough 16L,51,Medium,Polyester,235.5,31.4,4.2
Luxilon 4G S 15,51,Medium,Polyester,332.0,23.0,
Luxilon 4G Soft 1.25,51,Medium,Polyester,238.9,24.9,6.7
Double AR 666 (1.30),51,Medium,Nylon,162.9,23.6,5.8
Gosen A.K. Control 16,51,Medium,Nylon,172.6,21.9,5.4
Babolat Addiction 16,51,Medium,Nylon,180.0,19.5,3.1
Babolat Addiction 17,51,Medium,Nylon,162.3,19.6,2.6
Luxilon Adrenaline 16,51,Medium,Polyester,236.0,45.0,3.6
Luxilon Adrenaline 16L/1.25,51,Medium,Polyester,226.9,44.0,3.5
Luxilon Adrenaline 17/1.20,51,Medium,Polyester,237.7,41.5,2.9
Luxilon Adrenaline Rough 16L/1.25,51,Medium,Polyester,223.5,44.2,3.3
Gosen AK Pro 16,51,Medium,Nylon,182.3,21.2,4.3
Gosen AK Pro 17,51,Medium,Nylon,174.3,20.1,4.4
Luxilon ALU Power 125/16L,51,Medium,Polyester,225.2,46.1,5.8
Luxilon ALU Power Feel 18/1.20,51,Medium,Polyester,200.6,40.9,5.4
Luxilon Alu Power Soft 1.25,51,Medium,Polyester,208.6,36.0,6.9
Klip Armour Pro 16/1.30,51,Medium,Gut,112.0,15.7,1.4
Gamma Asterisk 16,51,Medium,Nylon,162.3,20.6,3.8
Gamma Asterisk Spin 16,51,Medium,Nylon,154.3,23.9,3.9
Gamma Asterisk Tour 16,51,Medium,Nylon/Zyex,170.9,24.1,3.4
Pacific ATP Poly Power Pro 16L,51,Medium,Polyester,219.5,50.5,5.0
Babolat Attraction 16,51,Medium,Nylon/Polyurethane,170.9,19.6,2.7
IsoSpeed Axon Mono 16L,51,Medium,Polyester,229.7,34.0,3.2
IsoSpeed Axon Multi 16L,51,Medium,Nylon/Polyolefin,135.4,28.0,3.0
Babolat Ballistic Polymono 16,51,Medium,Polyester,250.9,45.8,4.7
Solinco Barb Wire 16,51,Medium,Polyester,244.6,39.3,4.4
