String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),62,Fast,Polyester,305.8,16.0,
Luxilon 4G 16L (1.25),62,Fast,Polyester,273.2,17.4,3.9
Luxilon 4G Rough 16L,62,Fast,Polyester,234.9,24.1,4.2
Luxilon 4G S 15,62,Fast,Polyester,320.6,17.3,
Luxilon 4G Soft 1.25,62,Fast,Polyester,225.7,23.4,6.7
Double AR 666 (1.30),62,Fast,Nylon,180.0,22.9,5.8
Gosen A.K. Control 16,62,Fast,Nylon,179.5,20.6,5.4
Babolat Addiction 16,62,Fast,Nylon,197.7,17.4,3.1
Babolat Addiction 17,62,Fast,Nylon,173.7,17.7,2.6
Luxilon Adrenaline 16,62,Fast,Polyester,245.7,36.1,3.6
Luxilon Adrenaline 16L/1.25,62,Fast,Polyester,228.0,37.5,3.5
Luxilon Adrenaline 17/1.20,62,Fast,Polyester,245.7,33.7,2.9
Luxilon Adrenaline Rough 16L/1.25,62,Fast,Polyester,247.5,37.9,3.3
Gosen AK Pro 16,62,Fast,Nylon,204.6,20.9,4.3
Gosen AK Pro 17,62,Fast,Nylon,183.5,19.9,4.4
Luxilon ALU Power 125/16L,62,Fast,Polyester,248.0,37.3,5.8
Luxilon ALU Power Feel 18/1.20,62,Fast,Polyester,198.3,38.0,5.4
Luxilon Alu Power Soft 1.25,62,Fast,Polyester,217.7,31.4,6.9
Klip Armour Pro 16/1.30,62,Fast,Gut,105.2,12.3,1.4
Gamma Asterisk 16,62,Fast,Nylon,178.3,21.9,3.8
Gamma Asterisk Spin 16,62,Fast,Nylon,175.5,23.0,3.9
Gamma Asterisk Tour 16,62,Fast,Nylon/Zyex,186.3,20.8,3.4
Pacific ATP Poly Power Pro 16L,62,Fast,Polyester,228.6,45.0,5.0
Babolat Attraction 16,62,Fast,Nylon/Polyurethane,181.7,18.9,2.7
IsoSpeed Axon Mono 16L,62,Fast,Polyester,230.9,29.8,3.2
IsoSpeed Axon Multi 16L,62,Fast,Nylon/Polyolefin,136.0,28.4,3.0
Babolat Ballistic Polymono 16,62,Fast,Polyester,255.5,40.4,4.7
Solinco Barb Wire 16,62,Fast,Polyester,246.9,34.7,4.4
Solinco Barb Wire 17 (1.20),62,Fast,Polyester,197.2,41.3,4.9
Prince Beast XP 16,62,Fast,Polyester,228.6,36.5,3.9
Luxilon Big Banger Ace 18 (1.12),62,Fast,Polyester,226.9,38.5,4.0
Luxilon Big Banger ALU Power Fluoro 17,62,Fast,Polyester,233.2,37.1,
Luxilon Big Banger ALU Power Spin 127/16,62,Fast,Polyester,241.7,38.6,4.3
Luxilon Big Banger Original 130/16,62,Fast,Polyester,250.3,40.8,4.8
Luxilon Big Banger Rough 130/16,62,Fast,Polyester,252.6,38.1,4.4
Luxilon Big Banger Timo 17 (1.22),62,Fast,Polyester,248.0,34.5,3.9
Luxilon Big Banger TiMO 17L (1.17),62,Fast,Polyester,228.6,39.2,4.4
