String,Ref. Ten. (lbs),Swing Speed,Material,Stiffness (lb/in),Tension Loss (%),Spin Potential
Luxilon 4G 16 (1.30),62,Slow,Polyester,354.3,15.4,
Luxilon 4G 16L (1.25),62,Slow,Polyester,335.5,16.6,3.9
Luxilon 4G Rough 16L,62,Slow,Polyester,263.5,22.3,4.2
Luxilon 4G S 15,62,Slow,Polyester,370.9,16.4,
Luxilon 4G Soft 1.25,62,Slow,Polyester,258.3,22.8,6.7
Double AR 666 (1.30),62,Slow,Nylon,185.7,21.5,5.8
Gosen A.K. Control 16,62,Slow,Nylon,181.2,19.5,5.4
Babolat Addiction 16,62,Slow,Nylon,202.3,16.1,3.1
Babolat Addiction 17,62,Slow,Nylon,180.0,16.7,2.6
Luxilon Adrenaline 16,62,Slow,Polyester,293.8,35.4,3.6
Luxilon Adrenaline 16L/1.25,62,Slow,Polyester,279.5,37.2,3.5
Luxilon Adrenaline 17/1.20,62,Slow,Polyester,284.0,33.1,2.9
Luxilon Adrenaline Rough 16L/1.25,62,Slow,Polyester,290.3,37.2,3.3
Gosen AK Pro 16,62,Slow,Nylon,201.7,19.4,4.3
Gosen AK Pro 17,62,Slow,Nylon,189.2,18.8,4.4
Luxilon ALU Power 125/16L,62,Slow,Polyester,301.2,36.9,5.8
Luxilon ALU Power Feel 18/1.20,62,Slow,Polyester,222.3,36.6,5.4
Luxilon Alu Power Soft 1.25,62,Slow,Polyester,253.7,30.9,6.9
Klip Armour Pro 16/1.30,62,Slow,Gut,106.3,11.3,1.4
Gamma Asterisk 16,62,Slow,Nylon,168.0,20.4,3.8
Gamma Asterisk Spin 16,62,Slow,Nylon,174.3,21.3,3.9
Gamma Asterisk Tour 16,62,Slow,Nylon/Zyex,188.6,19.7,3.4
Pacific ATP Poly Power Pro 16L,62,Slow,Polyester,302.9,44.4,5.0
Babolat Attraction 16,62,Slow,Nylon/Polyurethane,180.6,18.1,2.7
IsoSpeed Axon Mono 16L,62,Slow,Polyester,257.2,29.4,3.2
IsoSpeed Axon Multi 16L,62,Slow,Nylon/Polyolefin,156.0,25.9,3.0
Babolat Ballistic Polymono 16,62,Slow,Polyester,322.9,39.8,4.7
Solinco Barb Wire 16,62,Slow,Polyester,293.8,34.5,4.4
Solinco Barb Wire 17 (1.20),62,Slow,Polyester,254.3,40.8,4.9
Prince Beast XP 16,62,Slow,Polyester,278.9,36.1,3.9
Luxilon Big Banger Ace 18 (1.12),62,Slow,Polyester,282.3,38.1,4.0
Luxilon Big Banger ALU Power Fluoro 17,62,Slow,Polyester,278.9,36.5,
Luxilon Big Banger ALU Power Spin 127/16,62,Slow,Polyester,289.2,38.2,4.3
Luxilon Big Banger Original 130/16,62,Slow,Polyester,302.9,40.4,4.8
Luxilon Big Banger Rough 130/16,62,Slow,Polyester,282.9,37.5,4.4
Luxilon Big Banger Timo 17 (1.22),62,Slow,Polyester,282.3,34.0,3.9
Luxilon Big Banger TiMO 17L (1.17),62,Slow,Polyester,269.2,38.5,4.4
Luxilon Big Banger Timo 18 (1.10),62,Slow,Polyester,244.6,39.9,3.6
Luxilon Big Banger XP 125/16L,62,Slow,Polyester,289.2,39.8,4.1
Luxilon Big Banger XP 15L (1.38),62,Slow,Polyester,317.8,38.6,3.6
Tourna Big Hitter 16,62,Slow,Polyester,305.2,34.3,
Tourna Big Hitter Black 7 17,62,Slow,Polyester,244.0,44.9,6.3
Tourna Big Hitter Blue 16,62,Slow,Polyester,309.8,33.8,
Tourna Big Hitter Blue 17,62,Slow,Polyester,286.9,32.3,4.9
Tourna Big Hitter Blue Rough 16,62,Slow,Polyester,286.3,31.8,3.4
Tourna Big Hitter Blue Rough 17,62,Slow,Polyester,285.8,34.9,3.2
Tourna Big Hitter Silver 17,62,Slow,Polyester,239.5,44.8,5.4
Tourna Big Hitter Silver Rough 16,62,Slow,Polyester,281.8,34.8,4.5
Tourna Big Hitter Silver Rough 17,62,Slow,Polyester,273.7,37.8,4.1
Weiss Cannon Black 5 Edge 17 (1.24),62,Slow,Polyester,288.6,26.7,4.7
Tecnifibre Black Code 16,62,Slow,Polyester,313.2,30.9,
Tecnifibre Black Code 17,62,Slow,Polyester,334.9,31.6,4.2
Tecnifibre Black Code 18,62,Slow,Polyester,280.0,36.1,4.6
Tecnifibre Black Code 4S 17 (1.25),62,Slow,Polyester,254.3,22.4,9.8
Alien Black Diamond 16,62,Slow,Polyester,274.3,45.6,4.5
IsoSpeed Black Fire 17,62,Slow,Polyester,286.3,34.1,5.6
Kirschbaum Black Shark 16 (1.30),62,Slow,Polyester,322.3,30.4,5.4
Kirschbaum Black Shark 17 (1.25),62,Slow,Polyester,290.9,29.5,5.8
Polyfibre Black Venom 16 (1.30),62,Slow,Polyester,268.0,51.5,4.3
Polyfibre Black Venom 16L (1.25),62,Slow,Polyester,256.6,50.8,
Dunlop Black Widow 16,62,Slow,Polyester,267.5,38.0,5.2
Dunlop Black Widow 17,62,Slow,Polyester,281.2,35.1,5.4
Tourna Black Zone 16,62,Slow,Polyester,262.9,28.2,5.6
Boris Becker Bomber 16,62,Slow,Polyester,305.2,40.2,5.1
Boris Becker Bomber 17,62,Slow,Polyester,239.5,44.6,
One Strings Carbon NRG 16,62,Slow,Polyester,241.7,39.2,5.1
One Strings Carbon Tour 17 (1.25),62,Slow,Polyester,274.9,21.4,
Poly Star Classic 16 (1.30),62,Slow,Polyester,271.5,53.6,4.2
Poly Star Classic 16L (1.25),62,Slow,Polyester,282.3,49.4,4.4
Poly Star Classic 17 (1.20),62,Slow,Polyester,261.2,52.1,4.0
Pacific Classic Natural Gut 16,62,Slow,Gut,90.9,11.8,2.8
MSV Co.-Focus 16L,62,Slow,Polyester,263.5,41.6,4.2
Polyfibre Cobra 17/1.20,62,Slow,Polyester,242.3,48.9,3.6
Mantis Comfort Poly 16,62,Slow,Polyester,309.2,37.3,4.8
Dunlop Comfort Poly 17,62,Slow,Polyester,309.2,28.9,4.5
Mantis Comfort Synthetic 16,62,Slow,Nylon,154.9,19.2,3.8
Dunlop Comfort Synthetic 16,62,Slow,Nylon,209.7,17.2,4.1
Dunlop Comfort Synthetic 17,62,Slow,Nylon,233.7,15.5,
Kirschbaum Competition 16/1.30,62,Slow,Polyester,293.2,35.5,4.9
Kirschbaum Competition 17 (1.25),62,Slow,Polyester,299.5,35.9,4.5
Kirschbaum Competition 17L (1.20),62,Slow,Polyester,264.6,41.0,4.1
Gosen Compositemaster I 16,62,Slow,Nylon,181.7,18.7,4.2
Gosen Compositemaster II 16,62,Slow,Nylon,170.3,22.1,4.5
Babolat Conquest 16,62,Slow,Nylon,198.3,25.0,4.3
IsoSpeed Control 16,62,Slow,Nylon/Polyolefin,171.5,20.9,
IsoSpeed Control Classic 16,62,Slow,Polyolefin,156.6,22.7,2.3
Topspin Cyber Blue 16,62,Slow,Polyester,253.7,44.0,5.8
Topspin Cyber Blue 17,62,Slow,Polyester,256.0,44.7,5.1
Topspin Cyber Flash 16,62,Slow,Polyester,237.2,46.6,4.8
Topspin Cyber Flash 17,62,Slow,Polyester,229.2,54.6,4.2
Topspin Cyber Flash 17L,62,Slow,Polyester,208.6,56.0,4.6
Volkl Cyclone 16,62,Slow,Polyester,285.8,41.9,6.2
Volkl Cyclone 17,62,Slow,Polyester,264.0,43.9,5.8
Volkl Cyclone 18,62,Slow,Polyester,268.0,42.1,7.1
Volkl Cyclone 19 (1.10),62,Slow,Polyester,238.3,31.6,8.2
Volkl Cyclone Tour 17 (1.25),62,Slow,Polyester,270.9,41.7,6.1
Double AR Diablo (1.24),62,Slow,Polyester,244.6,47.5,7.4
Double AR Diablo (1.31),62,Slow,Polyester,247.5,48.2,7.7
Dunlop DNA 16 (1.30),62,Slow,Nylon,182.9,22.0,3.6
Dunlop DNA 17 (1.22),62,Slow,Nylon,164.0,24.6,4.1
Babolat Duralast 16,62,Slow,Polyester,306.3,43.8,
Babolat Duralast 17,62,Slow,Polyester,303.5,37.5,
Tecnifibre Duramix HD 16,62,Slow,Nylon/Polyester,201.2,26.9,2.2
Tecnifibre Duramix HD 17,62,Slow,Nylon/Polyester,211.5,25.4,1.7
Ashaway Dynamite 17,62,Slow,Nylon/Zyex,159.4,24.1,3.0
Ashaway Dynamite Soft 17,62,Slow,Nylon/Zyex,147.4,24.9,2.6
Ashaway Dynamite Soft 18,62,Slow,Nylon/Zyex,137.2,24.0,
Ashaway Dynamite WB 16,62,Slow,Nylon/Zyex,172.0,27.5,3.3
Tecnifibre E-Matrix 16,62,Slow,Nylon/Polyurethane,169.2,16.3,2.7
Tecnifibre E-Matrix 17,62,Slow,Nylon,161.7,15.5,2.4
Luxilon Element 1.30,62,Slow,Polyester,248.0,33.7,6.6
Wilson Enduro Gold 16,62,Slow,Polyester,304.0,42.4,
Wilson Enduro Mono 16L,62,Slow,Polyester,316.0,37.4,
Wilson Enduro Pro 16,62,Slow,Polyester,289.2,34.0,4.7
Wilson Enduro Pro 17 (1.25),62,Slow,Nylon/Polyester,285.8,30.9,4.0
Wilson Enduro Tour 16,62,Slow,Polyester,321.2,32.8,5.2
Wilson Enduro Tour 17,62,Slow,Polyester,257.7,52.3,4.8
Wilson Enduro Tour 18,62,Slow,Polyester,249.7,48.6,
IsoSpeed Energetic 17,62,Slow,Nylon/Polyolefin,202.9,32.6,1.9
IsoSpeed Energetic Plus 16,62,Slow,Nylon/Polyester,181.7,19.1,2.4
Poly Star Energy 16 (1.30),62,Slow,Polyester,275.5,52.7,4.0
Poly Star Energy 16L (1.25),62,Slow,Polyester,288.0,49.7,3.7
Poly Star Energy 17 (1.20),62,Slow,Polyester,258.3,51.7,4.0
Gamma ESP 16,62,Slow,Nylon,188.6,23.2,2.6
Head ETS 16,62,Slow,Nylon,173.7,22.4,1.9
Head ETS 17,62,Slow,Nylon,182.9,20.3,1.9
Klip Excellerator 16/1.30,62,Slow,Nylon,182.3,17.0,2.7
Weiss Cannon Explosiv 1.30,62,Slow,Nylon,159.4,21.3,4.0
Dunlop Explosive 16,62,Slow,Polyester,294.9,32.4,4.8
Dunlop Explosive Poly Max 16,62,Slow,Nylon/Polyester,191.5,20.4,3.4
Dunlop Explosive Synthetic 16,62,Slow,Nylon,201.2,19.8,3.6
Dunlop Explosive Synthetic Gut 17,62,Slow,Nylon,218.3,14.9,
Wilson Extreme 16 Synthetic Gut,62,Slow,Nylon,206.9,18.3,3.2
Head Fibergel Power 16,62,Slow,Nylon,188.0,25.7,3.0
Head Fibergel Power 17,62,Slow,Nylon,195.5,22.1,3.1
Head Fibergel Spin 16,62,Slow,Nylon,193.7,20.3,3.5
Babolat FiberTour 16,62,Slow,Nylon,186.9,18.5,3.1
Signum Pro Firestorm 1.25,62,Slow,Polyester,263.5,39.9,4.8
MSV Focus Evo 16,62,Slow,Polyester,329.8,35.8,4.9
MSV Focus Evo 17,62,Slow,Polyester,306.9,39.9,4.5
MSV Focus Hex 17L (1.18),62,Slow,Polyester,293.2,23.6,6.5
MSV Focus Hex Soft 17 (1.25),62,Slow,Polyester,287.5,24.8,6.3
Head FXP 16,62,Slow,Nylon/Polyester,204.6,19.4,3.8
Head FXP 17,62,Slow,Nylon,203.5,17.7,4.1
Head FXP Power 16,62,Slow,Nylon,187.5,19.2,4.6
Head FXP Power 17,62,Slow,Nylon,179.5,17.5,4.5
Head FXP Tour 16,62,Slow,Nylon/Polyester,142.9,18.1,4.2
Gamma Glide Cross String 16,62,Slow,Nylon,143.4,18.6,3.2
Volkl Gripper 16,62,Slow,Nylon,175.5,20.6,
Volkl Gripper 17,62,Slow,Nylon,161.2,21.5,4.4
Alpha Gut 2000 16,62,Slow,Nylon,163.4,12.3,3.1
Klip Hardcore 16/1.30,62,Slow,Polyester,282.9,46.5,4.7
Head Hawk 17 (1.25),62,Slow,Polyester,265.2,26.3,4.7
Tecnifibre HDX Tour 16 (1.30),62,Slow,Nylon/Polyester,149.7,10.0,4.3
Kirschbaum Helix 16,62,Slow,Polyester,311.5,39.7,5.4
Kirschbaum Helix 17,62,Slow,Polyester,294.9,37.0,5.4
MSV Hepta-Twist 16,62,Slow,Polyester,272.0,42.7,0.0
